"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-04-20,4285.48974609375,4385.1522983284885,4214.302208783222,4242.777223707433,37335000
2000-04-21,4306.84716796875,4399.390991412707,4249.89712277247,4313.965923618285,26425000
2000-04-24,4128.87744140625,4292.608788220636,4100.402424568965,4249.896262964709,27830000
2000-04-25,4014.975830078125,4100.400847739362,3929.550812416888,4000.7383271345857,34900000
2000-04-26,3986.502197265625,4171.589799281529,3986.5021972656255,4143.114783586775,39290000
2000-04-27,3844.126953125,4057.6895616319443,3844.126953125,3929.5519965277776,54110000
2000-04-28,4271.25146484375,4342.438989257812,3886.8388330078124,3915.3138427734375,75530000
2000-05-01,4271.25146484375,4271.25146484375,4271.25146484375,4271.25146484375,0
2000-05-02,4470.57763671875,4648.546491683669,4356.6775695412025,4413.627603129977,72335000
2000-05-03,4399.39111328125,4456.341160055117,4335.322310660649,4442.103648361651,26585000
2000-05-04,4399.39111328125,4527.5287185224515,4370.916089894316,4427.866136668184,26100000
2000-05-05,4399.39111328125,4399.39111328125,4399.39111328125,4399.39111328125,0
2000-05-08,4669.90234375,4769.564893769055,4484.814750857469,4556.002286585366,52695000
2000-05-09,4669.90234375,4669.90234375,4669.90234375,4669.90234375,0
2000-05-10,4520.4091796875,4548.884198142224,4463.459142778051,4499.052915846456,27620000
2000-05-11,4520.4091796875,4520.4091796875,4520.4091796875,4520.4091796875,0
2000-05-12,4385.1513671875,4584.476429332386,4385.1513671875,4570.238924893466,47170000
2000-05-15,4584.478515625,4648.547314756405,4427.865895526009,4477.697183739325,47120000
2000-05-16,4840.75244140625,4840.75244140625,4634.3085872874535,4634.3085872874535,39620000
2000-05-17,4926.17626953125,5225.163846583725,4926.17626953125,4983.126284207912,76235000
2000-05-18,4840.75244140625,4983.1275132123155,4755.32739832261,4798.03991986443,36580000
2000-05-19,4911.93994140625,4911.93994140625,4698.377335258152,4798.039884793931,41450000
2000-05-22,4748.2099609375,4862.110049955491,4712.616183119378,4783.803738755622,36385000
2000-05-23,4541.76513671875,4769.565268967966,4520.4088743203865,4627.190186312207,41290000
2000-05-24,4413.626953125,4534.6457566784275,4214.3018649193555,4385.151940524193,72150000
2000-05-25,4271.25146484375,4541.764057617187,4221.420197753906,4506.1702954101565,85965000
2000-05-26,3986.502197265625,4264.133600289481,3986.5021972656255,4200.064814976284,67100000
2000-05-29,3886.8388671875,4043.451422275641,3730.226312099359,3744.463817107372,67130000
